name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,year,month,breach_type_hacking_it_incident,breach_type_improper_disposal,breach_type_loss,breach_type_other,breach_type_theft,breach_type_unauthorized_access_disclosure,breach_type_unknown,primary_breach_type,location_desktop_computer,location_electronic_medical_record,location_email,location_laptop,location_network_server,location_other,location_other_portable_electronic_device,location_paper_films,primary_location,is_mega_breach,breach_size_tier,log_individuals_affected,quarter,days_since_epoch,ba_present,entity_business_associate,entity_health_plan,entity_healthcare_clearing_house,entity_healthcare_provider,region,breach_type_gap,location_gap
Indian Health Board of Minneapolis,MN,Healthcare Provider,503,2025-12-15,Unauthorized Access/Disclosure,Network Server,Yes,,2025,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Small,6.222576268071369,4,4723,1,False,False,False,True,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
"Affiliates of Nexion Health, Inc.",MD,Healthcare Provider,1027,2025-12-12,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Affiliates of Nexion Health, Inc., reported that an employee emailed the protected health information (PHI) of 1,027 individuals to the wrong recipients. The PHI involved included names, addresses, dates of birth, claims information, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE retrained workforce members and implemented new technical safeguards to better protect its PHI.",2025,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,True,False,False,False,False,False,Email,0,Small,6.93537044601511,4,4720,0,False,False,False,True,South,Administrative Safeguard Failure,Technical/Administrative Safeguard Failure
Jewish Family and Community Services- East Bay,CA,Healthcare Provider,987,2025-12-10,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Jewish Family and Community Services- East Bay, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 987 individuals. The PHI involved included demographic information. The CE notified HHS and the affected individuals. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.895682697747868,4,4718,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"SomnoSleep Consultants, LLC",VA,Healthcare Provider,913,2025-11-24,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), SomnoSleep Consultants, reported that its business associate (BA) experienced a compromise of their computer system that compromised the protected health information (PHI) of 913 individuals. The PHI involved included names, addresses, dates of birth, and clinical information. The CE notified HHS and the affected individuals. In response to the breach, the CE and BA implemented encryption technologies. OCR  provided the CE with technical assistance regarding the HIPAA Rules.
",2025,11,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.81783057145415,4,4702,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Wisconsin Department of Corrections,WI,Healthcare Provider,1723,2025-11-12,Unauthorized Access/Disclosure,Network Server,No,"Wisconsin Department of Corrections, the covered entity (CE), reported that the protected health information (PHI) of 1,723 individuals was viewable over the Internet. The PHI involved clinical and diagnostic information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE revised its policies and procedure regarding the HIPAA Privacy and Security Rules and trained or retrained its workforce. OCR provided technical assistance regarding the HIPAA Rules.",2025,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Small,7.452402451223638,4,4690,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
"River Oaks Hospital & Clinics, LLC",TX,Healthcare Provider,2742,2025-11-07,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2025,11,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Small,7.916807490937603,4,4685,0,False,False,False,True,South,Administrative Safeguard Failure,Technical Safeguard Failure
Bosch Choice Welfare Benefit Plan,MI,Health Plan,55000,2025-10-31,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Bosch Choice Welfare Benefit Plan, reported that a vendor of its business associate (BA) experienced a cybersecurity incident that affected the protected health information (PHI) of 55,000 individuals. The PHI involved included names, Social Security numbers, dates of birth, claims and health insurance information, and diagnoses/conditions. The CE notified HHS and the BA notified the affected covered entities and the affected individuals. In response to the breach, the CE and BA implemented additional technical safeguards to better protect PHI.",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,10.915106645867503,4,4678,1,False,True,False,False,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Fidelis Care New York,MO,Health Plan,1680,2025-10-31,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Fidelis Care New York, reported that a workforce member emailed documents containing the protected health information (PHI) of 1,680 individuals to the wrong recipient. The PHI involved included names, dates of birth, member identification numbers, medications and other treatment information.  The CE notified HHS, the affected individuals, and the media.  In response to the breach, the CE implemented additional administrative safeguards and sanctioned the responsible workforce member.",2025,10,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,True,False,False,False,False,False,Email,0,Small,7.427144133408616,4,4678,0,False,True,False,False,Midwest,Administrative Safeguard Failure,Technical/Administrative Safeguard Failure
Rocky Mountain Oncology Care,WY,Healthcare Provider,5615,2025-10-24,Hacking/IT Incident,Network Server,Yes,,2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.633374945705647,4,4671,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Sedgebrook OpCo SL VII LLC,IL,Healthcare Provider,7382,2025-10-23,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Sedgebrook OpCo SL VII LLC, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 7,382 individuals. The PHI involved included demographic, clinical, and financial information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.906935339059165,4,4670,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Sapphire Community Health,MT,Healthcare Provider,5617,2025-10-17,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Sapphire Community Health, reported that its business associate (BA) experienced a cyber-attack on its network which contained the protected health information (PHI) of approximately 5,617 individuals. The PHI involved names, addresses, dates of birth, drivers’ license numbers, social security numbers, diagnoses/conditions, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, and the media. OCR provided technical assistance to the CE regarding the HIPAA Rules.",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.633731007664188,4,4664,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Central Jersey Medical Center,NJ,Healthcare Provider,88000,2025-10-17,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Central Jersey Medical Center, reported that it experienced a hacking incident that affected the protected health information of 88,000 individuals. The PHI involved included names, Social Security numbers, addresses, dates of birth, claims information, diagnoses/conditions, and treatment information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative, technical, and security safeguards, and retrained its workforce members to better protect its PHI. ",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,11.385103457032141,4,4664,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
"McElroy & Associates, Inc. ",OK,Business Associate,6633,2025-10-17,Hacking/IT Incident,Email,Yes,"The business associate (BA), McElroy & Associates, Inc., reported that an employee’s email account containing protected health information (PHI) was accessed by an unauthorized threat actor.  According to the breach report, the breach affected approximately 6,633 individuals.  The PHI involved names, dates of births, address/zip codes, social security numbers, drivers’ license numbers, other identifier, claims information, credit card/bank account numbers, medications, diagnosis/conditions, and other treatment information.  The BA notified HHS, affected individuals, and the media.  In its mitigation efforts, the BA provided security awareness training to its workforce and enhanced its access controls to better protect its PHI.  OCR provided technical assistance to the BA regarding the HIPAA Rules and obtained documentation substantiating the BA’s actions.",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,8.799963219506997,4,4664,1,True,False,False,False,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Houston Methodist Specialty Physician Group,TX,Healthcare Provider,2329,2025-10-10,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), Houston Methodist Specialty Physician Group, reported that an employee mailed the protected health information of 2,329 individuals to the wrong recipients. The PHI involved included names and treatment information. The CE notified HHS, the affected individuals and the media. In response to the breach, the CE sanctioned the employee involved and retrained its workforce members to better protect its PHI.",2025,10,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,7.753623546559746,4,4657,0,False,False,False,True,South,Administrative Safeguard Failure,Physical Safeguard Failure
Dermatology Associates,KY,Healthcare Provider,501,2025-10-03,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Dermatology Associates, reported that it was the subject of a ransomware attack that compromised the protected health information (PHI) of approximately 501 individuals. The PHI involved included clinical, demographic, and financial information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. The CE took several corrective actions in response to the breach, including changing passwords and enhancing security controls. OCR provided technical assistance to the CE. ",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.218600119691729,4,4650,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
"Vibra Hospital of Sacramento, LLC",CA,Healthcare Provider,620,2025-10-03,Hacking/IT Incident,Email,No,"Vibra Hospital of Sacramento, LLC, the covered entity (CE), reported that several employees were the targets of an email phishing incident that affected the protected health information (PHI) of 620 individuals.  The PHI included names, dates of birth, addresses, drivers’ license information, Social Security numbers, financial information, diagnoses and conditions, lab results, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach the CE implemented additional administrative and technical safeguards. OCR provided technical assistance regarding the HIPAA Breach Notification Rules. Staff were retrained.",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,6.431331081933479,4,4650,0,False,False,False,True,West,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Innovative Physical Therapy,IL,Healthcare Provider,2023,2025-10-02,Hacking/IT Incident,Email,Yes,"The covered entity (CE), Innovative Physical Therapy, reported that an employee of its business associate (BA) was the subject of an email phishing attack that affected the protected health information (PHI) of 2,023 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on their website. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect PHI.
",2025,10,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,7.6128310304073565,4,4649,1,False,False,False,True,Midwest,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Walgreen Co.,IL,Healthcare Provider,2708,2025-09-30,Loss,Paper/Films,No,"The covered entity (CE), Walgreen Co., reported that the protected health information (PHI) of 2,708 individuals was lost during transport. The PHI involved included names, addresses, medications, and other treatment information. The CE notified HHS, law enforcement, affected individuals, and the media. In its mitigation efforts, the  CE terminated its business relationship with the business associate. OCR provided technical assistance to the CE regarding the HIPAA Rules.",2025,9,False,False,True,False,False,False,False,Loss,False,False,False,False,False,False,False,True,Paper/Films,0,Small,7.904334842085095,3,4647,0,False,False,False,True,Midwest,Physical/Technical Safeguard Failure,Physical Safeguard Failure
North Carolina Department of Health and Human Services,NC,Health Plan,3437,2025-09-29,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), North Carolina Department of Health and Human Services, reported that an employee of its business associate (BA) mailed the protected health information (PHI) of 3,437 individuals to the wrong recipients. The PHI involved clinical and demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE and BA implemented additional administrative, technical, and security safeguards and retrained workforce members to better protect its PHI.",2025,9,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,8.142645185942795,3,4646,1,False,True,False,False,South,Administrative Safeguard Failure,Physical Safeguard Failure
"Superior Vision Services, Inc.",NY,Business Associate,25341,2025-09-29,Hacking/IT Incident,Email,Yes,"The business associate (BA), Superior Vision Services, Inc., reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of approximately 25,341 individuals. The PHI involved demographic information. The BA notified HHS, affected individuals, and the media.  In its mitigation efforts, the BA provided security awareness training to its workforce, strengthened its threat detection and response solutions, and enhanced its access controls to better protect PHI. OCR provided technical assistance to the BA regarding the HIPAA Rules.",2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,10.140218377358854,3,4646,1,True,False,False,False,Northeast,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Thomas Davies, DPM",NY,Healthcare Provider,14581,2025-09-29,Hacking/IT Incident,Electronic Medical Record,No,,2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Medium,9.587543170366375,3,4646,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
"Outcomes One, Inc.",FL,Business Associate,257481,2025-09-23,Hacking/IT Incident,Email,Yes,"The business associate (BA), Outcomes One, Inc., reported that an employee was the subject of an email phishing scheme that affected the protected health information (PHI) of 257,481 individuals. The PHI involved included names, dates of birth, medications, and other treatment information. The BA notified HHS, the affected covered entities, the affected individuals, the media, and provided substitute notice. In response to the breach, the BA implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect PHI.",2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Large,12.458705093729984,3,4640,1,True,False,False,False,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Herr Foods, Inc.",PA,Healthcare Provider,1164,2025-09-19,Hacking/IT Incident,Network Server,Yes,"Herr Foods, the covered entity(CE) reported that its business associate (BA) experienced a hacking attack that compromised the protected health information (PHI) of 1,164 individuals. The PHI involved included names, birthdates, addresses, claims information, health insurance information, diagnoses, and other treatment information. Following the discovery of the incident, the covered entity provided notice to HHS and the affected individuals. The BA implemented additional administrative, technical, and security safeguards.",2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.060476365999801,3,4636,1,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
UNC Hospitals,NC,Healthcare Provider,6377,2025-09-19,Hacking/IT Incident,Email,No,"The covered entity (CE), UNC Hospitals, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 6,377 individuals. The PHI involved included demographic, financial, and clinical information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI. OCR provided technical assistance to the CE.",2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,8.760609847570002,3,4636,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
The University of North Carolina at Chapel Hill - School of Medicine,NC,Healthcare Provider,799,2025-09-19,Hacking/IT Incident,Email,No,"The covered entity (CE), UNC Chapel Hill – School of Medicine, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 799 individuals. The PHI involved included demographic, financial, and clinical information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI. OCR provided technical assistance to the CE.",2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,6.684611727667927,3,4636,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Goshen Medical Center,NC,Healthcare Provider,456385,2025-09-17,Hacking/IT Incident,Network Server,No,,2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,13.03109422165295,3,4634,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
"Roush Fenway Keselowski Racing, LLC",NC,Health Plan,2160,2025-09-12,Hacking/IT Incident,Network Server,No,,2025,9,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.6783263565068856,3,4629,0,False,True,False,False,South,Technical Safeguard Failure,Technical Safeguard Failure
Sentara Health,VA,Healthcare Provider,696,2025-09-03,Unauthorized Access/Disclosure,Paper/Films,No,"Sentara Health, the covered entity (CE), reported that an employee mailed the protected health information (PHI) of 696 individuals to the wrong recipients. The PHI involved included names, addresses, and treatment information. The CE notified HHS and the affected individuals. The CE also took corrective actions in response to the breach, implementing additional administrative, technical, and security safeguards to better protect its PHI.",2025,9,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.546785410760524,3,4620,0,False,False,False,True,South,Administrative Safeguard Failure,Physical Safeguard Failure
"Meridian Valley Laboratories, Inc.",WA,Healthcare Provider,16341,2025-08-29,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Meridian Valley Laboratories, Inc., reported that it experienced a hacking incident that affected the protected health information (PHI) of 16,341 individuals. The PHI involved included financial, clinical and demographic information. The CE notified HHS, the affected individuals, and provided substitute notice.  In response to the breach, the CE implemented additional administrative, technical, and security safeguards and retrained workforce members to better protect its PHI.",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.701493759944652,3,4615,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Northwest Medical Specialties PLLC,WA,Healthcare Provider,3864,2025-08-28,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Northwest Medical Specialties PLLC, reported that it was the subject of a cyber-attack that affected the protected health information (PHI) of 3,864 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on their website. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.259716961021523,3,4614,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Children's Center of Hamden,CT,Healthcare Provider,5213,2025-08-28,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Children's Center of Hamden, reported that it was the subject of a cyber-attack that affected the protected health information (PHI) of 5,213 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect its PHI.",2025,8,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.559102594493448,3,4614,0,False,False,False,True,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
